num_experts,experts_per_gpu,seed,raw_max,dedup_max,gain_pct,dedup_frac_pct
32,1,0,632,466,26.265822784810126,17.154124219520213
32,1,1,454,401,11.674008810572687,7.313915857605179
32,1,2,541,439,18.853974121996302,12.935809710003257
32,1,3,575,451,21.565217391304348,13.934426229508196
32,1,4,465,406,12.688172043010752,7.453825857519789
32,1,5,480,416,13.333333333333334,8.330578512396695
64,2,0,706,479,32.15297450424929,22.517207472959686
64,2,1,456,394,13.596491228070175,8.678500986193294
64,2,2,503,423,15.904572564612327,9.209241783273674
64,2,3,552,445,19.384057971014492,14.034516444154999
64,2,4,447,411,8.053691275167786,7.712418300653595
64,2,5,469,408,13.00639658848614,9.9384914211719
128,4,0,572,447,21.853146853146853,14.678899082568808
128,4,1,428,381,10.981308411214954,7.969826172515579
128,4,2,688,478,30.523255813953487,21.842447916666664
128,4,3,577,444,23.050259965337954,15.546080682190883
128,4,4,500,412,17.6,11.608300907911802
128,4,5,460,401,12.826086956521738,8.360655737704919
256,8,0,427,383,10.304449648711945,8.409387222946545
256,8,1,628,457,27.229299363057326,18.41249186727391
256,8,2,411,373,9.245742092457421,8.898993179603767
256,8,3,502,429,14.541832669322709,10.559006211180124
256,8,4,662,472,28.700906344410875,19.24590163934426
256,8,5,521,418,19.769673704414586,14.224844313339888
512,16,0,508,416,18.11023622047244,12.187195320116997
512,16,1,589,449,23.769100169779286,15.364834458373513
512,16,2,403,375,6.947890818858561,7.495069033530571
512,16,3,716,483,32.54189944134078,23.607945294692282
512,16,4,491,413,15.885947046843178,11.550940947436729
512,16,5,434,384,11.52073732718894,8.541875208541876
