num_gpus,num_domains,t_demand,t_solve,t_write,t_sim,cycles
32,8,0.027083873748779297,0.0004661083221435547,0.0028297901153564453,0.03994250297546387,665986
64,16,0.09243202209472656,0.001306295394897461,0.008678436279296875,0.06095552444458008,1349718
128,32,0.28594422340393066,0.0024025440216064453,0.016936779022216797,0.11708641052246094,2204192
