num_gpus,num_domains,seed,cap,c0,old,new,old_vs_c0,new_vs_c0,fixb,served_old,served_new
32,4,0,541,953146,786443,786443,17.4898,17.4898,0.0,8,8
32,4,1,408,810858,742575,676200,8.4211,16.6069,8.9385,5,7
32,4,2,498,845191,723120,723120,14.443,14.443,0.0,6,6
32,4,3,486,868078,753638,753638,13.1831,13.1831,0.0,6,6
32,4,4,418,669715,734944,669715,-9.7398,0.0,8.8754,5,7
32,4,5,424,716634,731894,716634,-2.1294,0.0,2.085,5,7
64,8,0,491,1970142,1510468,1510468,23.332,23.332,0.0,21,21
64,8,1,483,1312106,1309436,1265949,0.2035,3.5178,3.321,23,42
64,8,2,388,1166385,1291125,1166385,-10.6946,0.0,9.6613,14,39
64,8,3,474,1287691,1267854,1219792,1.5405,5.2729,3.7908,25,43
64,8,4,483,1241917,1292649,1210637,-4.085,2.5187,6.3445,23,43
64,8,5,470,1307910,1330798,1300663,-1.75,0.5541,2.2644,19,43
128,16,0,395,2401196,2379450,2335968,0.9056,2.7165,1.8274,38,196
128,16,1,406,2138366,2295906,2133026,-7.3673,0.2497,7.0944,43,193
128,16,2,486,2587739,2506859,2589646,3.1255,-0.0737,-3.3024,60,210
128,16,3,402,2198631,2305443,2149046,-4.8581,2.2553,6.7838,44,195
128,16,4,404,2114715,2286370,2097169,-8.1172,0.8297,8.2752,42,194
128,16,5,396,2450789,2444681,2453078,0.2492,-0.0934,-0.3435,39,197
